"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2016","Region","FREQUENCY","FREQUENCY","TIME","TIME","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2010","2010",6049,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2011","2011",6021,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2012","2012",6037,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2013","2013",6033,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2014","2014",6042,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2015","2015",6038,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10800","Bland (A)","A","Annual","2016","2016",6031,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2001","2001",6478,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2002","2002",6545,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2003","2003",6562,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2004","2004",6598,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2005","2005",6649,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2006","2006",6741,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2007","2007",6821,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2008","2008",6900,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2009","2009",7041,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2010","2010",7143,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2011","2011",7217,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2012","2012",7292,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2013","2013",7335,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2014","2014",7372,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2015","2015",7388,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10850","Blayney (A)","A","Annual","2016","2016",7418,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2001","2001",76528,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2002","2002",76656,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2003","2003",76651,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2004","2004",76436,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2005","2005",75971,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2006","2006",75600,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2007","2007",76198,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2008","2008",77102,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2009","2009",77869,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2010","2010",78227,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2011","2011",78553,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2012","2012",78536,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2013","2013",78682,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2014","2014",78842,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2015","2015",78847,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10900","Blue Mountains (C)","A","Annual","2016","2016",78705,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2001","2001",3156,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2002","2002",3105,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2003","2003",3052,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2004","2004",3027,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2005","2005",2964,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2006","2006",2939,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2007","2007",2972,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2008","2008",2992,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2009","2009",2999,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2010","2010",3013,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2011","2011",3009,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2012","2012",2984,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2013","2013",2928,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2014","2014",2898,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2015","2015",2851,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10950","Bogan (A)","A","Annual","2016","2016",2768,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2001","2001",36966,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2002","2002",37158,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2003","2003",37228,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2004","2004",37081,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2005","2005",37215,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2006","2006",37453,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2007","2007",38041,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2008","2008",39018,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2009","2009",40026,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2010","2010",40909,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2011","2011",41504,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","11100","Botany Bay (C)","A","Annual","2012","2012",42279,,
